,Token,Label
0,ለኮንዶሚኒየም,B-PRODUCT
1,ለጠባብ,I-PRODUCT
2,ቤቶች,I-PRODUCT
3,ገላግሌ,I-PRODUCT
4,የሆነ,I-PRODUCT
5,ከንፁህ,I-PRODUCT
6,የሲልከን,I-PRODUCT
7,ጥሬ,I-PRODUCT
8,እቃ,I-PRODUCT
9,የተሰራ,I-PRODUCT
10,የልጆች,I-PRODUCT
11,ማጠቢያ,I-PRODUCT
12,ምስሉ,I-PRODUCT
13,ላይ,I-PRODUCT
14,እንደሚያዩት,I-PRODUCT
15,መታጠፍ,I-PRODUCT
16,መዘርጋት,I-PRODUCT
17,የሚችል,I-PRODUCT
18,3350ብር,I-PRODUCT
19,ይደውሉልን,I-PRODUCT
20,እርሶ,I-PRODUCT
21,መምጣት,I-PRODUCT
22,ባይመቾ,I-PRODUCT
23,እኛ,I-PRODUCT
24,ያሉበት,I-PRODUCT
25,ድረስ,I-PRODUCT
26,እናደርስሎታለን,I-PRODUCT
27,ስልክ,I-PRODUCT
28,0905707448,I-PRODUCT
29,0909003864,I-PRODUCT
30,ሲና,I-PRODUCT
31,የተመረጡና,I-PRODUCT
32,ጥራታቸውን,I-PRODUCT
33,የጠበቁ,I-PRODUCT
34,የልጆች,I-PRODUCT
35,እቃ,I-PRODUCT
36,አስመጪ,I-PRODUCT
37,0909003864,I-PHONE
38,0905707448,I-PHONE
39,እቃ,O
40,ለማዘዝ,O
41,ከስር,O
42,ያለውን,O
43,ሊንኮች,O
44,በመጫን,O
45,ማዘዝ,O
46,ትችላላቹ,O
47,@sinasinaye,O
48,@sinayalj2,O
49,አድራሻ,O
50,1⃣ቁጥር1,O
51,ገርጂ,I-LOC
52,ኢምፔሪያል,I-LOC
53,ከሳሚ,O
54,ህንፃ,I-LOC
55,ጎን,O
56,አልፎዝ,O
57,ፕላዛ,I-LOC
58,ግራውንድ,O
59,ላይ,O
60,እንደገቡ,O
61,ያገኙናል,O
62,2⃣ቁጥር2,O
63,4ኪሎ,I-LOC
64,ቅድስት,O
65,ስላሴ,I-LOC
66,ህንፃ,I-LOC
67,ማለትም,O
68,ከብልፅግና,O
69,ዋናፅፈት,O
70,ቤት,O
71,ህንፃ,I-LOC
72,በስተ,O
73,ቀኝ,O
74,ባለው,O
75,አስፓልት,O
76,20ሜትር,O
77,ዝቅ,O
78,እንዳሉ,O
79,ሀበሻ,O
80,ኮፊ,O
81,የሚገኝበት,O
82,ቀይ,O
83,ሸክላ,O
84,ህንፃ,I-LOC
85,2ተኛ,O
86,ፎቅ,I-LOC
87,ላይ,O
88,ያገኙናል,O
